,trope,all_genres,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Short,Sport,Thriller,War,Western
0,ShoutOut,0.00577853641731,0.00501114441626,0.00505909100219,0.00645350542681,0.00438148094056,0.00717714013998,0.00513703309014,0.00632411067194,0.00529662478103,0.00736965895727,0.00579684686663,0.00317712470214,0.00387668451172,0.00587458445284,0.0071666872606,0.00685255198488,0.00521036863358,0.00521756749911,0.00620103350558,0.00813008130081,0.00732377174245,0.00518259935553,0.00352404643449,0.00590717299578
1,ChekhovsGun,0.00412901744001,0.00425793559296,0.00409642996129,0.0041067761807,0.00131444428217,0.00405664442694,0.00489111129328,0.00316205533597,0.00404143505428,0.00360642885143,0.00333757849897,0.00397140587768,0.00221524829241,0.00478163850813,0.00271839861609,0.00165406427221,0.00612218314446,0.00329263968391,0.00373395565928,0.0,0.00274641440342,0.00580021482277,0.00124378109453,0.00365682137834
2,DeadpanSnarker,0.00337733790605,0.0026131734686,0.00278557237368,0.00205338809035,0.00379728348182,0.00445785101862,0.00347022980026,0.00395256916996,0.00350349659995,0.00399843198746,0.00254709938079,0.00635424940429,0.00276906036552,0.00214035247507,0.00457185221797,0.00567107750473,0.00351699882767,0.00567347145535,0.00233372228705,0.0,0.0051876716509,0.00268528464017,0.00228026533997,0.0042194092827
3,OhCrap,0.00331991794165,0.00375067250788,0.00356389406632,0.00352009386917,0.0039433328465,0.00310563620964,0.0038800994617,0.00316205533597,0.00295176485193,0.00368482947864,0.00254709938079,0.00158856235107,0.00498430865793,0.00368869256341,0.0021005807488,0.00189035916824,0.00364725804351,0.00162099184438,0.00363393898983,0.00406504065041,0.00488251449496,0.00386680988185,0.00269485903814,0.0028129395218
4,Foreshadowing,0.00311111807111,0.00265928829452,0.00264219732503,0.00293341155764,0.00408938221119,0.0022735040195,0.0031696587152,0.00395256916996,0.00361384294956,0.00274402195218,0.00281059242018,0.000794281175536,0.00424589256046,0.00373423197778,0.00259483504263,0.00259924385633,0.0052754982415,0.00283673572767,0.00310051675279,0.0,0.00427220018309,0.00413533834586,0.00290215588723,0.00450070323488
5,Jerkass,0.00299627814231,0.00142955960341,0.00172050058374,0.00205338809035,0.00365123411713,0.0041903799575,0.00256851654507,0.00158102766798,0.00360004965586,0.00399843198746,0.00193228228888,0.000794281175536,0.00184604024368,0.0025957466187,0.00345978005684,0.0023629489603,0.00299596196431,0.00379919963528,0.0020003333889,0.00406504065041,0.00579798596277,0.00257787325456,0.00103648424544,0.00225035161744
6,BittersweetEnding,0.00285011823293,0.00212128199216,0.00200725068103,0.00205338809035,0.00379728348182,0.00169398338708,0.00278711369784,0.000790513833992,0.0046345466834,0.00141121128969,0.00232752184796,0.00476568705322,0.00609193280414,0.00314221959106,0.00172989002842,0.00118147448015,0.00364725804351,0.00329263968391,0.00280046674446,0.00406504065041,0.00396704302716,0.0030880773362,0.0051824212272,0.00478199718706
7,LargeHam,0.0027248383106,0.0028898624241,0.00305184032116,0.00352009386917,0.00204469110559,0.00316507422322,0.00275978905375,0.00395256916996,0.0022483068732,0.00376323010584,0.00351324052523,0.000794281175536,0.00276906036552,0.00277790427615,0.00395403435067,0.0054347826087,0.00188875862967,0.00131705587356,0.00196699449908,0.00406504065041,0.00396704302716,0.00230934479055,0.00269485903814,0.00168776371308
8,TitleDrop,0.00248993845624,0.00190607947122,0.00182291133277,0.000586682311528,0.00335913538776,0.00234780153647,0.00327895729158,0.00632411067194,0.00328280390074,0.00188161505292,0.00202011330201,0.00635424940429,0.00350747646299,0.00182157657453,0.00271839861609,0.00212665406427,0.00234466588511,0.00354591965959,0.00143357226204,0.0,0.00305157155935,0.00228249194415,0.00414593698176,0.00196905766526
9,MeaningfulName,0.00233855855009,0.00219814003535,0.00202773283084,0.00293341155764,0.000876296188112,0.00237752054326,0.0023225947482,0.00158102766798,0.00252417274721,0.00243041944336,0.00250318387423,0.00238284352661,0.00147683219494,0.00182157657453,0.00222414432225,0.0023629489603,0.00325648039599,0.0023301757763,0.00273378896483,0.0,0.00213610009155,0.00247046186896,0.00290215588723,0.00253164556962
